127.0.0.1 - - [26/Jul/2017:14:10:57 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:11:33 +0800] "GET /fifth-group/css/public.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:11:33 +0800] "GET /fifth-group/images/dclogo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:11:33 +0800] "GET /fifth-group/js/global.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:11:33 +0800] "GET /fifth-group/index.jsp HTTP/1.1" 200 9068
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:11:33 +0800] "GET /fifth-group/js/jquery.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:11:33 +0800] "GET /fifth-group/images/notice.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:11:33 +0800] "GET /fifth-group/images/top_add.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:11:33 +0800] "GET /fifth-group/images/icon_menu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:11:35 +0800] "GET /fifth-group/images/icon_edit_white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:11:59 +0800] "GET /fifth-group/index.jsp HTTP/1.1" 200 9068
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:12:10 +0800] "GET /fifth-group/index.jsp HTTP/1.1" 200 9068
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:12:10 +0800] "GET /fifth-group/css/public.css HTTP/1.1" 200 24776
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:12:10 +0800] "GET /fifth-group/js/jquery.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:12:10 +0800] "GET /fifth-group/js/global.js HTTP/1.1" 200 4428
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:12:10 +0800] "GET /fifth-group/images/dclogo.gif HTTP/1.1" 200 1210
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:12:10 +0800] "GET /fifth-group/images/top_add.gif HTTP/1.1" 200 112
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:12:10 +0800] "GET /fifth-group/images/icon_menu.png HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:12:10 +0800] "GET /fifth-group/images/notice.jpg HTTP/1.1" 200 88179
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:12:17 +0800] "GET /fifth-group/index.jsp HTTP/1.1" 200 9068
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:12:18 +0800] "GET /fifth-group/index.jsp HTTP/1.1" 200 9068
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:12:20 +0800] "GET /fifth-group/index.jsp HTTP/1.1" 200 9068
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:12:26 +0800] "GET /fifth-group/login.jsp HTTP/1.1" 200 11670
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:12:26 +0800] "GET /fifth-group/css/login.css HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:12:26 +0800] "GET /fifth-group/css/index_style.css HTTP/1.1" 200 1939
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:12:26 +0800] "GET /fifth-group/code.jsp HTTP/1.1" 200 1584
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:12:26 +0800] "GET /fifth-group/css/img/in_top_bj.jpg HTTP/1.1" 200 56852
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:12:50 +0800] "GET /fifth-group/login.jsp HTTP/1.1" 200 11670
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:12:50 +0800] "GET /fifth-group/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:12:50 +0800] "GET /fifth-group/css/index_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:12:50 +0800] "GET /fifth-group/code.jsp HTTP/1.1" 200 1734
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:12:50 +0800] "GET /fifth-group/css/img/in_top_bj.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:13:09 +0800] "POST /fifth-group/checkRequest!check.action?time=1501049588908 HTTP/1.1" 200 3316
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:13:09 +0800] "POST /fifth-group/checkRequest!check.action?time=1501049588910 HTTP/1.1" 200 3316
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:13:10 +0800] "POST /fifth-group/UserActionyc!login.action HTTP/1.1" 200 3316
0:0:0:0:0:0:0:1 - - [26/Jul/2017:14:13:22 +0800] "POST /fifth-group/checkRequest!check.action?time=1501049602394 HTTP/1.1" 200 3316
